"@timestamp",message,"geoip.ip","geoip.city_name","geoip.country_name"
"Aug 20, 2022 @ 19:10:44.433","Aug 20 19:10:44 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:43.432","Aug 20 19:10:42 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:41.429","Aug 20 19:10:41 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:40.428","Aug 20 19:10:39 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:38.426","Aug 20 19:10:38 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:37.425","Aug 20 19:10:36 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:36.425","Aug 20 19:10:35 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:34.423","Aug 20 19:10:34 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:32.420","Aug 20 19:10:32 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:31.419","Aug 20 19:10:30 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:29.417","Aug 20 19:10:29 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:28.416","Aug 20 19:10:27 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:27.415","Aug 20 19:10:26 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:25.413","Aug 20 19:10:25 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:24.413","Aug 20 19:10:23 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:22.410","Aug 20 19:10:22 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:21.408","Aug 20 19:10:20 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:19.405","Aug 20 19:10:19 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:18.403","Aug 20 19:10:17 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:16.400","Aug 20 19:10:16 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:15.398","Aug 20 19:10:14 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:13.395","Aug 20 19:10:13 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:12.394","Aug 20 19:10:11 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:10.393","Aug 20 19:10:10 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:09.390","Aug 20 19:10:08 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:07.388","Aug 20 19:10:07 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:06.387","Aug 20 19:10:05 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:04.386","Aug 20 19:10:04 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:03.384","Aug 20 19:10:02 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:01.381","Aug 20 19:10:01 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:10:00.380","Aug 20 19:09:59 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:09:58.376","Aug 20 19:09:58 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:09:57.375","Aug 20 19:09:56 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:09:55.372","Aug 20 19:09:55 mail postfix/submission/smtpd[11752]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Aug 20, 2022 @ 19:09:54.370","Aug 20 19:09:53 mail postfix/submission/smtpd[11053]: warning: unknown[20.115.60.142]: SASL LOGIN authentication failed: authentication failure","-","-","-"
