"@timestamp",message,"geoip.ip","geoip.city_name","geoip.country_name"
"Sep 23, 2022 @ 20:34:19.161","Sep 23 20:34:11 mail postfix/smtps/smtpd[24309]: warning: unknown[122.187.226.16]: SASL LOGIN authentication failed: authentication failure","122.187.226.16","-",India
"Sep 23, 2022 @ 20:33:48.081","Sep 23 20:33:46 mail postfix/smtps/smtpd[22275]: warning: 173-10-134-117-BusName-washingtonDC.hfc.comcastbusiness.net[173.10.134.117]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 20:29:55.736","Sep 23 20:29:53 mail postfix/smtps/smtpd[22275]: warning: ip5f5a9e92.dynamic.kabel-deutschland.de[95.90.158.146]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 20:29:31.236","Sep 23 20:29:31 mail postfix/smtps/smtpd[18609]: warning: l37-195-215-61.novotelecom.ru[37.195.215.61]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 20:29:18.225","Sep 23 20:29:11 mail postfix/smtps/smtpd[18609]: warning: 243.pool83-231-10.static.orange.es[83.231.10.243]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 20:28:41.217","Sep 23 20:28:38 mail postfix/smtps/smtpd[18609]: warning: unknown[186.148.211.103]: SASL LOGIN authentication failed: authentication failure","186.148.211.103","Puente Alto",Chile
"Sep 23, 2022 @ 20:25:43.010","Sep 23 20:25:42 mail postfix/smtps/smtpd[18609]: warning: unknown[77.235.29.47]: SASL LOGIN authentication failed: authentication failure","77.235.29.47",Bishkek,Kyrgyzstan
"Sep 23, 2022 @ 20:25:28.004","Sep 23 20:25:21 mail postfix/smtps/smtpd[18609]: warning: unknown[221.10.33.46]: SASL LOGIN authentication failed: authentication failure","221.10.33.46","-",China
"Sep 23, 2022 @ 20:24:48.987","Sep 23 20:24:45 mail postfix/smtps/smtpd[18609]: warning: unknown[59.2.33.99]: SASL LOGIN authentication failed: authentication failure","59.2.33.99","Muju-gun","South Korea"
"Sep 23, 2022 @ 20:24:25.979","Sep 23 20:24:25 mail postfix/smtps/smtpd[18609]: warning: 174-085-088-161.res.spectrum.com[174.85.88.161]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 20:23:04.946","Sep 23 20:22:57 mail postfix/smtps/smtpd[18609]: warning: unknown[181.27.62.70]: SASL LOGIN authentication failed: authentication failure","181.27.62.70",Moreno,Argentina
"Sep 23, 2022 @ 20:22:41.939","Sep 23 20:22:40 mail postfix/smtps/smtpd[18609]: warning: unknown[103.106.154.139]: SASL LOGIN authentication failed: authentication failure","103.106.154.139",Achheja,India
"Sep 23, 2022 @ 20:11:33.536","Sep 23 20:11:30 mail postfix/smtps/smtpd[9201]: warning: unknown[177.238.101.38]: SASL LOGIN authentication failed: authentication failure","177.238.101.38","Oaxaca City",Mexico
"Sep 23, 2022 @ 20:10:59.522","Sep 23 20:10:59 mail postfix/smtps/smtpd[9201]: warning: unknown[45.221.8.218]: SASL LOGIN authentication failed: authentication failure","45.221.8.218",Kampala,Uganda
"Sep 23, 2022 @ 20:06:44.931","Sep 23 20:06:42 mail postfix/smtps/smtpd[11690]: warning: unknown[85.175.101.116]: SASL LOGIN authentication failed: authentication failure","85.175.101.116","-",Russia
"Sep 23, 2022 @ 20:06:32.926","Sep 23 20:06:31 mail postfix/smtps/smtpd[9201]: warning: unknown[202.103.250.101]: SASL LOGIN authentication failed: authentication failure","202.103.250.101","-",China
"Sep 23, 2022 @ 20:05:58.901","Sep 23 20:05:58 mail postfix/smtps/smtpd[9201]: warning: unknown[102.221.249.159]: SASL LOGIN authentication failed: authentication failure","102.221.249.159","Port Elizabeth","South Africa"
"Sep 23, 2022 @ 20:05:41.895","Sep 23 20:05:40 mail postfix/smtps/smtpd[9201]: warning: unknown[58.34.82.250]: SASL LOGIN authentication failed: authentication failure","58.34.82.250",Shanghai,China
